item_id,item_description,item_long_description,preferred_supplier_id,status_type_code_id,status_item_code_id,created_by,created_date,modified_by,modified_date
2000411,SKIDSTEER LOADER,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000412,JOHN DEERE TILLER/ LOADER ,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000414,TOPSOIL SMALL LOAD,,1000004,0,1002,101,3/20/2005,101,3/20/2005
2000415,ORGANIC COMPOST,,1000004,0,1002,101,3/20/2005,101,3/20/2005
2000416,DUMP TRAILER,,1000027,0,1002,101,3/20/2005,101,3/20/2005
2000417,TRUCK CHARGES,,1000027,0,1002,101,3/20/2005,101,3/20/2005
2000418,LABOR - TRAVEL TIME,,1000027,0,1002,101,3/20/2005,101,3/20/2005
2000419,SOD CUTTER,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000420,LABOR - PLANTING ,,1000027,0,1002,101,3/20/2005,101,3/20/2005
2000421,DINGO,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000422,SOD,,1000030,0,1002,101,3/20/2005,101,3/20/2005
2000423,PROTIME LAWN SEED,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000424,STRAW MULCH,,1000013,0,1002,101,3/20/2005,101,3/20/2005
2000425,LABOR - INSTALL SOD/ SEED ,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000426,LABOR - TILL ,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000427,LABOR - RAKE,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000428,LABOR - ROLL,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000429,LABOR - EDGE LAWN,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000430,LAWN EDGER,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000431,LAWN ROLLER,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000432,LABOR - CUT SOD,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000433,LABOR - SPRAY OUT LAWN,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000434,ROUND UP,,1000027,0,1002,101,3/21/2005,101,10/9/2005
2000435,HYDRO-SEED,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000436,DUMP FEE,,1000027,0,1002,101,3/21/2005,101,3/21/2005
2000437,ASV RC-50 LOADER,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000438,PLATE COMPACTOR,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000439,GAS BRICK SAW,,1000013,0,1002,101,3/21/2005,101,3/21/2005
2000440,"3/4"" MINUS CRUSHED GRAVEL",,1000004,0,1002,101,3/21/2005,101,3/21/2005
2000441,"1/4"" MINUS CRUSHED GRAVEL ",,1000004,0,1002,101,3/21/2005,101,3/21/2005
2000442,SAND,,1000004,0,1002,101,3/21/2005,101,3/21/2005
2000444,LABOR - PROCUREMENT TIME,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000445,LABOR - EXCAVATION,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000446,LABOR - INSTALL FABRIC,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000447,LABOR - INSTALL GRAVEL,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000448,LABOR - FORM UP ,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000449,LABOR - POUR CONCRETE,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000450,LABOR - LAY OUT PAVERS,GUYS SHOULD BE ABLE TO INSTALL 20-30 SQ. FT. PER HOUR,1000027,0,1002,101,4/24/2005,101,5/1/2005
2000451,LABOR - CUT PAVERS/ BRICKS,GUYS SHOULD BE ABLE TO CUT 80 LN FT PER DAY,1000027,0,1002,101,4/24/2005,101,11/13/2005
2000452,LABOR - INSTALL PAVER EDGE,,1000027,0,1002,101,4/24/2005,101,5/1/2005
2000453,LABOR - INSTALL SAND,,1000027,0,1002,101,4/24/2005,101,4/24/2005
2000454,MORTAR #80,,1000031,0,1002,101,5/1/2005,101,5/1/2005
2000455,CONCRETE #80,,1000031,0,1002,101,5/1/2005,101,5/1/2005
2000456,CONCRETE 1/4-1-1/4 CU. YD.    ,,1000010,0,1002,101,5/1/2005,101,5/1/2005
2000457,CONCRETE,,1000034,0,1002,101,5/1/2005,101,5/1/2005
2000458,MISC. FORM MATERIALS ,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000459,SILICA SAND 70 MESH,,1000033,0,1002,101,5/1/2005,101,5/1/2005
2000460,SUPER WET GLUE,,1000032,0,1002,101,5/1/2005,101,5/1/2005
2000461,MISC PAVER/ BRICK MATERIALS,,1000027,0,1002,101,5/1/2005,101,11/13/2005
2000462,WESTRN PAVERS ,,1000032,0,1002,101,5/1/2005,101,5/1/2005
2000463,DELIVERY FEE,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000464,MUTUAL PAVERS,,1000031,0,1002,101,5/1/2005,101,5/1/2005
2000465,PUMILITE PAVERS,,1000033,0,1002,101,5/1/2005,101,5/1/2005
